title,company,location,snippet,posted,salary,detail_url
Data Analyst,Glowies Beauty,Jakarta Raya,"Turn data into actionable insights to drive marketing, product, and sales decisions in a fast-growing beauty brand through dashboards and analytics.",6 jam yang lalu,6821428,https://id.jobstreet.com/id/job/89240395?type=standard&ref=search-standalone&origin=cardTitle
Data Analyst,PT DDS Solusi Indonesia,Jakarta Utara,The main focus of this role is to conduct research and analysis on trending and best-selling products across various platforms,1 hari yang lalu,6250000,https://id.jobstreet.com/id/job/89221554?type=standard&ref=search-standalone&origin=cardTitle
Data Analyst,PT Dwara Artha Digital,Jakarta Raya,"Membangun dan mengelola data pipeline modern berbasis Airflow, Python, dan arsitektur Raw–Bronze–Silver–Gold untuk klien enterprise.",4 jam yang lalu,9250000,https://id.jobstreet.com/id/job/89244368?type=standard&ref=search-standalone&origin=cardTitle
Business Analyst Staff,Indofood Group,Jakarta Selatan,Business Analyst,3 hari yang lalu,6821428,https://id.jobstreet.com/id/job/89165159?type=standard&ref=search-standalone&origin=cardTitle
Data Analyst,PT 360 TEKNOLOGI INDONESIA,Jakarta Raya,Karir menantang di perusahaan inovatif dengan lingkungan kerja dinamis. Jelajahi solusi analitik yang berdampak.,3 jam yang lalu,8000000,https://id.jobstreet.com/id/job/89246197?type=standard&ref=search-standalone&origin=cardTitle
Data Analyst,,Surabaya,"Mengumpulkan dan memvalidasi data dari berbagai sumber. Melakukan analisis data untuk menemukan tren, pola, dan insight bisnis.",4 jam yang lalu,6821428,https://id.jobstreet.com/id/job/89244757?type=standard&ref=search-standalone&origin=cardTitle
DATA ANALYST,Meilani Statistical Consulting,DI Yogyakarta,"Bergabung dengan tim analitik berpengalaman kami. Tunjangan menarik, lingkungan kerja yang kolaboratif, dan kesempatan pengembangan diri.",1 hari yang lalu,3750000,https://id.jobstreet.com/id/job/89224996?type=standard&ref=search-standalone&origin=cardTitle
DATA ANALYTICS SPECIALIST,PT Bahtera Adi Jaya,Tangerang Selatan,"Data analyst role: build dashboards, clean & analyze data, train users. Req: IT-related degree, SQL/Tableau/JS, good teamwork, South Tangerang",7 jam yang lalu,6821428,https://id.jobstreet.com/id/job/89237647?type=standard&ref=search-standalone&origin=cardTitle
IT Data Analyst Intern,PT Tunas Ridean,Pasar Minggu,-,1 jam yang lalu,6821428,https://id.jobstreet.com/id/job/89248515?type=standard&ref=search-standalone&origin=cardTitle
DATA ANALYST,PT Alun Indah,Jakarta Raya,Training untuk pengembangan diri dan fasilitas perusahaan,3 hari yang lalu,6821428,https://id.jobstreet.com/id/job/89151215?type=standard&ref=search-standalone&origin=cardTitle
Data Analyst Executie,PT Laneige Indonesia Pacific,Jakarta Selatan,"You will manage KPI monitoring, performance analytics across brands and channels, and automate dashboards to support strategic initiatives.",9 hari yang lalu,9250000,https://id.jobstreet.com/id/job/89070798?type=standard&ref=search-standalone&origin=cardTitle
DATA ANALIS,PT Fastrata Buana (Distributor Kapal Api),Pekanbaru,"Tanggung Jawab: Membuat laporan penjualan cabang berupa data pencapaian target, pertumbuhan penjualan, fluktuasi penjualan dan data pareto outlet...",1 jam yang lalu,6821428,https://id.jobstreet.com/id/job/89248102?type=standard&ref=search-standalone&origin=cardTitle
Data Analyst - Tecno Indonesia,PT Transisi Mobile Indonesia,Jakarta Raya,"Sales Support (Rebate) is responsible for managing and monitoring distributor rebate process, sales data validation, rebate calculation and reporting.",2 hari yang lalu,6821428,https://id.jobstreet.com/id/job/89193682?type=standard&ref=search-standalone&origin=cardTitle
